playDispNm,playMin,playPos,playHeight,playWeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB
John Henson,25.8947368421,3,83.0,220.0,8.75,1.5,1.11842105263,0.592105263158,1.44736842105,2.65789473684,6.59210526316,3.77631578947,0.557832894737,6.5,3.76315789474,0.562996052632,0.0921052631579,0.0131578947368,0.0131578947368,2.07894736842,1.18421052632,0.417230263158,1.94736842105,4.80263157895
John Holland,7.33333333333,5,77.0,205.0,2.25,0.208333333333,0.333333333333,0.291666666667,0.0833333333333,0.416666666667,2.45833333333,0.708333333333,0.192725,0.958333333333,0.25,0.144675,1.5,0.458333333333,0.1673625,0.541666666667,0.375,0.0818458333333,0.25,0.75
John Wall,34.3414634146,1,76.0,195.0,19.4390243902,9.58536585366,3.87804878049,1.39024390244,1.09756097561,1.9512195122,16.2195121951,6.82926829268,0.426975609756,12.1463414634,5.31707317073,0.433665853659,4.07317073171,1.51219512195,0.339192682927,5.87804878049,4.26829268293,0.662070731707,0.512195121951,3.09756097561
Johnathan Motley,15.8181818182,4,82.0,230.0,8.72727272727,0.636363636364,0.818181818182,0.272727272727,0.181818181818,1.63636363636,6.81818181818,3.63636363636,0.521036363636,6.27272727273,3.54545454545,0.545445454545,0.545454545455,0.0909090909091,0.0303,2.54545454545,1.36363636364,0.431818181818,1.27272727273,3.18181818182
Johnny O'Bryant,10.5555555556,4,81.0,256.0,4.75,0.388888888889,0.416666666667,0.222222222222,0.166666666667,1.25,4.75,1.88888888889,0.372269444444,3.55555555556,1.5,0.393277777778,1.19444444444,0.388888888889,0.2037,0.694444444444,0.583333333333,0.208333333333,0.805555555556,1.80555555556
Jon Leuer,17.0,4,82.0,228.0,5.375,0.625,1.0,0.125,0.375,2.0,4.5,1.875,0.3854125,4.125,1.875,0.425,0.375,0.0,0.0,1.875,1.625,0.46875,0.875,3.125
Jonas Jerebko,15.2837837838,4,81.0,220.0,5.7972972973,0.567567567568,0.364864864865,0.324324324324,0.175675675676,1.71621621622,4.60810810811,2.14864864865,0.421705405405,2.48648648649,1.27027027027,0.415798648649,2.12162162162,0.878378378378,0.322233783784,0.77027027027,0.621621621622,0.307432432432,0.716216216216,2.60810810811
Jonas Valančiūnas,22.3896103896,3,84.0,231.0,12.7272727273,1.05194805195,1.49350649351,0.376623376623,0.896103896104,2.49350649351,8.92207792208,5.06493506494,0.561074025974,7.96103896104,4.67532467532,0.582667532468,0.961038961039,0.38961038961,0.24458961039,2.74025974026,2.20779220779,0.568976623377,2.38961038961,6.18181818182
Jonathan Gibson,10.0,2,74.0,185.0,8.5,1.0,0.75,0.0,0.0,1.25,5.75,3.5,0.65385,2.75,2.0,0.6875,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.75
Jonathan Isaac,19.8888888889,3,82.0,210.0,5.37037037037,0.666666666667,1.0,1.22222222222,1.07407407407,1.77777777778,5.33333333333,2.03703703704,0.409907407407,3.62962962963,1.44444444444,0.415211111111,1.7037037037,0.592592592593,0.295677777778,0.925925925926,0.703703703704,0.27037037037,0.592592592593,3.07407407407
